County,Urban,Pop2010,OHU2010,GroupQuartersFlag,NUMGQTRS,PCTGQTRS,HUNVFlag,LowIncomeTracts,PovertyRate,MedianFamilyIncome,TractLOWI,TractKids,TractSeniors,TractWhite,TractBlack,TractAsian,TractNHOPI,TractAIAN,TractOMultir,TractHispanic,TractHUNV,TractSNAP,LAhalfand10
Anoka County,1,5327,2248,0,10.0,0.1877229209686503,1,1,10.300804477089901,77083.0,1877.0,1118.0,811.0,4227.0,443.0,289.0,3.0,45.0,320.0,311.0,280.0,248.0,1
Anoka County,1,3489,1380,0,21.0,0.6018916595012898,0,1,10.500130924325699,74201.0,1193.0,857.0,422.0,2870.0,297.0,129.0,0.0,32.0,161.0,142.0,100.0,152.0,1
Anoka County,1,3981,1497,0,119.0,2.989198693795529,1,1,10.5299860529986,68909.0,1173.0,914.0,746.0,2780.0,511.0,233.0,9.0,49.0,399.0,454.0,219.0,146.0,1
Anoka County,1,3742,1670,0,130.0,3.4740780331373595,1,0,10.5908584169454,80625.0,1092.0,780.0,604.0,3276.0,214.0,53.0,1.0,23.0,175.0,152.0,216.0,188.0,1
Anoka County,1,2769,1028,0,7.0,0.2527988443481401,0,0,10.8387987573352,81528.0,735.0,692.0,229.0,2632.0,28.0,38.0,1.0,19.0,51.0,72.0,11.0,96.0,1
Anoka County,1,4868,1966,0,0.0,0.0,1,1,11.1604311984781,61791.0,1596.0,1213.0,451.0,3229.0,797.0,247.0,2.0,87.0,506.0,577.0,118.0,165.0,1
Anoka County,1,2053,788,0,4.0,0.1948368241597662,0,1,11.219763252702,65052.0,686.0,524.0,134.0,1801.0,56.0,62.0,2.0,23.0,109.0,120.0,60.0,125.0,0
Anoka County,1,3099,1327,0,15.0,0.48402710551790895,1,1,11.3350861817119,74293.0,802.0,712.0,598.0,2429.0,332.0,96.0,3.0,31.0,208.0,200.0,161.0,180.0,1
Anoka County,1,2431,890,0,6.0,0.24681201151789386,0,1,11.6270145817345,74634.0,637.0,620.0,315.0,2166.0,122.0,40.0,0.0,13.0,90.0,72.0,52.0,139.0,1
Anoka County,1,4312,1646,0,30.0,0.6957328385899815,0,1,11.8831599911485,63671.0,1823.0,1028.0,737.0,3459.0,319.0,113.0,0.0,60.0,361.0,417.0,87.0,263.0,1
Anoka County,1,4911,1820,0,146.0,2.972917939319894,1,1,12.5921375921376,67409.0,1648.0,1148.0,463.0,4231.0,241.0,126.0,0.0,40.0,273.0,211.0,153.0,207.0,1
Anoka County,1,4431,1884,0,0.0,0.0,0,1,12.930089853166802,69688.0,1157.0,1080.0,358.0,3664.0,301.0,173.0,1.0,35.0,257.0,228.0,141.0,282.0,1
Anoka County,1,2893,1249,0,50.0,1.7283097131005878,1,1,12.9722921914358,74167.0,1053.0,586.0,620.0,2305.0,231.0,101.0,0.0,36.0,220.0,205.0,193.0,149.0,1
Anoka County,1,2870,1172,0,20.0,0.6968641114982579,0,1,13.911219853198201,70505.0,756.0,619.0,478.0,2599.0,66.0,55.0,6.0,20.0,124.0,92.0,101.0,133.0,1
Anoka County,1,3041,1447,0,252.0,8.286747780335416,1,1,15.4652270562083,63583.0,1265.0,469.0,605.0,2732.0,130.0,26.0,0.0,49.0,104.0,136.0,244.0,198.0,1
Anoka County,1,3005,1316,0,0.0,0.0,1,1,16.223776223776202,47578.0,1341.0,695.0,528.0,1936.0,582.0,139.0,1.0,33.0,314.0,372.0,331.0,309.0,1
Anoka County,1,2323,973,0,0.0,0.0,0,1,17.4988952717631,57700.0,835.0,485.0,293.0,1681.0,253.0,60.0,1.0,41.0,287.0,337.0,80.0,163.0,1
Anoka County,1,3170,1305,0,0.0,0.0,0,1,18.8256658595642,54127.0,1148.0,722.0,462.0,2185.0,339.0,170.0,1.0,64.0,411.0,500.0,181.0,275.0,1
Anoka County,1,2095,851,0,95.0,4.534606205250596,0,1,19.4812680115274,67361.0,569.0,482.0,337.0,1800.0,135.0,39.0,1.0,10.0,110.0,62.0,80.0,98.0,1
Anoka County,1,3343,1236,0,4.0,0.11965300628178283,0,1,21.2748112943808,64673.0,1441.0,928.0,352.0,2198.0,484.0,268.0,1.0,49.0,343.0,275.0,59.0,143.0,1
Becker County,0,3008,1192,0,7.0,0.2327127659574468,0,0,3.7527593818984504,90161.0,543.0,706.0,508.0,2865.0,4.0,11.0,1.0,60.0,67.0,20.0,9.0,35.0,0
Becker County,0,2351,920,0,50.0,2.126754572522331,0,0,5.26542943461372,74792.0,484.0,586.0,410.0,2236.0,22.0,2.0,0.0,39.0,52.0,23.0,14.0,61.0,0
Becker County,0,2357,935,0,8.0,0.3394145099703012,0,0,5.51587301587302,88088.0,274.0,550.0,412.0,2177.0,6.0,9.0,1.0,82.0,82.0,24.0,35.0,29.0,0
Becker County,0,3094,1312,0,0.0,0.0,0,0,5.85412667946257,81473.0,592.0,685.0,610.0,3017.0,5.0,7.0,0.0,26.0,39.0,25.0,11.0,67.0,1
Becker County,0,4962,1956,0,59.0,1.1890366787585651,0,0,6.38542665388303,73710.0,1239.0,1198.0,749.0,4643.0,29.0,24.0,0.0,116.0,150.0,73.0,59.0,221.0,0
Becker County,0,3012,1137,0,0.0,0.0,0,1,8.72053872053872,64095.0,1116.0,850.0,489.0,2918.0,3.0,3.0,0.0,46.0,42.0,15.0,10.0,53.0,1
Becker County,1,3491,1670,0,145.0,4.153537668289888,1,1,10.1269649334946,68381.0,958.0,681.0,976.0,3258.0,20.0,15.0,4.0,107.0,87.0,57.0,246.0,152.0,1
Becker County,0,2248,874,0,0.0,0.0,0,1,11.7805755395683,67083.0,747.0,607.0,354.0,2175.0,0.0,3.0,0.0,42.0,28.0,9.0,55.0,49.0,1
Becker County,0,3833,1424,0,1.0,0.026089225150013044,1,1,25.221700573813198,52917.0,1883.0,1128.0,486.0,1831.0,5.0,3.0,0.0,1679.0,315.0,78.0,127.0,347.0,1
Becker County,1,4148,1804,0,188.0,4.532304725168756,1,1,30.3117399955782,49188.0,2433.0,1008.0,643.0,3600.0,44.0,48.0,1.0,258.0,197.0,74.0,205.0,480.0,1
Beltrami County,0,4359,1753,0,28.0,0.6423491626519844,0,0,6.18292113859076,80515.0,985.0,1012.0,621.0,4124.0,14.0,39.0,0.0,88.0,94.0,41.0,25.0,79.0,1
Beltrami County,0,6514,2649,0,144.0,2.210623272950568,0,0,7.910048749803431,80393.0,1444.0,1531.0,1091.0,5924.0,38.0,40.0,3.0,335.0,174.0,113.0,100.0,172.0,0
Beltrami County,0,6246,2341,0,87.0,1.392891450528338,0,0,10.5764724261834,72738.0,1818.0,1626.0,688.0,5581.0,26.0,32.0,2.0,346.0,259.0,91.0,78.0,227.0,1
Beltrami County,0,1715,734,0,0.0,0.0,0,1,11.5213239974539,56979.0,593.0,369.0,333.0,1666.0,2.0,4.0,0.0,23.0,20.0,7.0,32.0,61.0,1
Beltrami County,0,2015,711,0,5.0,0.24813895781637718,0,1,14.9881796690307,59583.0,866.0,555.0,275.0,1091.0,4.0,1.0,0.0,840.0,79.0,51.0,35.0,110.0,0
Beltrami County,0,2912,1228,0,36.0,1.2362637362637363,0,1,16.2211644086415,57188.0,982.0,637.0,575.0,2733.0,9.0,6.0,5.0,77.0,82.0,24.0,42.0,121.0,1
Beltrami County,1,4384,1656,0,79.0,1.8020072992700729,1,1,17.815233624919998,62500.0,1586.0,1206.0,481.0,3672.0,14.0,26.0,0.0,446.0,226.0,82.0,190.0,195.0,1
Beltrami County,1,5233,2338,0,183.0,3.497038027899866,1,1,27.1962302255133,45123.0,2932.0,1251.0,881.0,4090.0,53.0,39.0,1.0,786.0,264.0,87.0,470.0,478.0,1
Beltrami County,1,5179,1683,0,1433.0,27.669434253716936,0,1,32.3162642610772,41583.0,2054.0,671.0,420.0,4342.0,92.0,119.0,7.0,403.0,216.0,102.0,165.0,181.0,1
Beltrami County,0,5885,1753,0,84.0,1.427357689039932,1,1,34.5787925964366,35221.0,4292.0,2250.0,389.0,136.0,10.0,3.0,0.0,5660.0,76.0,78.0,193.0,592.0,1
Benton County,0,2773,960,0,0.0,0.0,0,0,3.02491103202847,81048.0,611.0,817.0,280.0,2727.0,5.0,10.0,1.0,4.0,26.0,22.0,28.0,46.0,0
Benton County,0,2184,796,0,0.0,0.0,0,0,5.80645161290323,77431.0,490.0,630.0,154.0,2139.0,4.0,2.0,0.0,3.0,36.0,15.0,43.0,40.0,1
Benton County,1,3093,1149,0,6.0,0.19398642095053348,0,0,6.658251814452509,83500.0,701.0,757.0,337.0,3047.0,6.0,7.0,0.0,5.0,28.0,57.0,9.0,102.0,1
Benton County,0,3022,1104,0,4.0,0.13236267372600927,0,0,7.32474964234621,83750.0,656.0,806.0,329.0,2954.0,20.0,9.0,0.0,8.0,31.0,24.0,16.0,48.0,0
Benton County,0,5807,2135,0,144.0,2.4797657998966764,0,0,7.83682232957595,79491.0,1126.0,1579.0,739.0,5715.0,22.0,8.0,0.0,15.0,47.0,34.0,95.0,181.0,0
Benton County,1,2693,1084,0,377.0,13.999257333828444,1,1,9.65933592065546,66563.0,665.0,494.0,818.0,2607.0,11.0,27.0,0.0,6.0,42.0,48.0,225.0,135.0,1
Benton County,1,4221,1750,0,184.0,4.359156597962568,1,1,16.4185452998724,68110.0,1697.0,948.0,511.0,3985.0,51.0,42.0,3.0,29.0,111.0,81.0,251.0,231.0,1
Benton County,1,8153,3099,0,231.0,2.8333128909603826,1,1,17.0243019648397,61310.0,2629.0,2221.0,912.0,7743.0,94.0,108.0,0.0,36.0,172.0,148.0,167.0,477.0,1
Benton County,1,6505,3002,0,102.0,1.5680245964642583,1,1,22.2912562509471,50975.0,3315.0,1248.0,478.0,5431.0,536.0,212.0,0.0,53.0,273.0,203.0,358.0,621.0,1
Big Stone County,0,1516,640,0,4.0,0.2638522427440633,0,0,6.18336886993603,80357.0,370.0,339.0,311.0,1496.0,3.0,2.0,0.0,5.0,10.0,14.0,29.0,15.0,1
Big Stone County,0,1774,743,0,48.0,2.705749718151071,0,0,11.6460637605725,71000.0,398.0,377.0,445.0,1757.0,2.0,1.0,0.0,5.0,9.0,6.0,31.0,34.0,1
Big Stone County,0,1979,910,0,85.0,4.295098534613441,0,1,15.038759689922502,59659.0,704.0,389.0,568.0,1922.0,6.0,1.0,0.0,12.0,38.0,21.0,112.0,100.0,0
Blue Earth County,0,3359,1391,0,0.0,0.0,0,0,4.32977461447212,78152.0,848.0,838.0,475.0,3285.0,20.0,17.0,2.0,7.0,28.0,43.0,118.0,54.0,0
Blue Earth County,0,3822,1401,0,0.0,0.0,0,0,4.64276502450348,97984.0,549.0,970.0,416.0,3762.0,13.0,12.0,2.0,3.0,30.0,53.0,19.0,36.0,0
Blue Earth County,1,4568,1834,0,116.0,2.539404553415061,0,0,7.791000371885461,83922.0,1191.0,1011.0,652.0,4377.0,49.0,58.0,0.0,4.0,80.0,122.0,72.0,147.0,1
Blue Earth County,0,4635,1761,0,8.0,0.1725997842502697,0,0,8.39075800567491,85034.0,1100.0,1176.0,418.0,4474.0,40.0,29.0,1.0,13.0,78.0,101.0,50.0,123.0,0
Blue Earth County,0,3601,1390,0,69.0,1.9161344071091362,0,0,8.47310584152689,71938.0,960.0,926.0,584.0,3525.0,16.0,25.0,1.0,2.0,32.0,66.0,58.0,97.0,0
Blue Earth County,1,3329,1584,0,242.0,7.269450285370982,1,0,10.070126227209,74423.0,922.0,498.0,985.0,3173.0,50.0,33.0,0.0,8.0,65.0,66.0,211.0,94.0,1
Blue Earth County,1,4592,1904,0,150.0,3.266550522648084,1,0,10.9837193304288,81667.0,1278.0,994.0,684.0,4064.0,238.0,122.0,1.0,11.0,156.0,175.0,141.0,168.0,1
Blue Earth County,0,2792,1130,0,0.0,0.0,0,0,11.232779936418199,74712.0,763.0,668.0,474.0,2721.0,25.0,11.0,0.0,7.0,28.0,61.0,38.0,89.0,1
Blue Earth County,0,3152,1273,0,87.0,2.760152284263959,0,1,11.3643871820284,68259.0,904.0,596.0,575.0,3078.0,9.0,15.0,0.0,10.0,40.0,57.0,20.0,91.0,0
Blue Earth County,1,5176,1986,0,32.0,0.6182380216383307,0,0,11.6271355116935,86029.0,1415.0,1296.0,551.0,4932.0,59.0,82.0,1.0,10.0,92.0,99.0,19.0,190.0,1
Blue Earth County,1,2990,1196,0,193.0,6.45484949832776,0,1,13.410080896079702,55385.0,1253.0,541.0,398.0,2744.0,83.0,36.0,2.0,20.0,105.0,125.0,107.0,169.0,1
Blue Earth County,1,2334,1022,0,319.0,13.667523564695802,1,1,28.799999999999997,37609.0,1166.0,302.0,209.0,2106.0,96.0,42.0,2.0,14.0,74.0,88.0,281.0,247.0,1
Blue Earth County,1,5023,1364,0,1096.0,21.819629703364523,0,1,29.0208910143468,95278.0,1739.0,919.0,292.0,4473.0,201.0,190.0,3.0,13.0,143.0,113.0,70.0,82.0,1
Blue Earth County,1,5760,2264,0,100.0,1.7361111111111112,1,1,40.2119907254058,51250.0,3323.0,938.0,513.0,4771.0,484.0,313.0,1.0,12.0,179.0,178.0,221.0,263.0,1
Blue Earth County,1,2817,1276,0,190.0,6.744763933262337,0,1,40.376106194690294,65469.0,1691.0,344.0,167.0,2526.0,114.0,35.0,1.0,15.0,126.0,123.0,203.0,190.0,0
